fight_id,datetime,label,is_draw,red_id,red_kd,red_ss,red_ss_attempted,red_total,red_total_attempted,red_td,red_td_attempted,red_sub_attempted,red_control_min,red_control_sec,red_ss_head,red_ss_head_attempted,red_ss_body,red_ss_body_attempted,red_ss_leg,red_ss_leg_attempted,red_ss_distance,red_ss_distance_attempted,red_ss_clinch,red_ss_clinch_attempted,red_ss_ground,red_ss_ground_attempted,blue_id,blue_kd,blue_ss,blue_ss_attempted,blue_total,blue_total_attempted,blue_td,blue_td_attempted,blue_sub_attempted,blue_control_min,blue_control_sec,blue_ss_head,blue_ss_head_attempted,blue_ss_body,blue_ss_body_attempted,blue_ss_leg,blue_ss_leg_attempted,blue_ss_distance,blue_ss_distance_attempted,blue_ss_clinch,blue_ss_clinch_attempted,blue_ss_ground,blue_ss_ground_attempted
6bcea00473e43a59,1411794000,0,0,029eaff01e6bb8f0,0,10,19,10.0,19.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0,7.0,8,10,19,0.0,0.0,0.0,0.0,f4c49976c75c5ab2,1.0,9.0,29.0,9.0,29.0,0.0,0.0,0.0,0.0,3.0,8.0,25.0,1.0,4.0,0.0,0.0,5.0,25.0,0.0,0.0,4.0,4.0
103a7d8c4f17714b,1555736400,1,0,275aca31f61ba28c,0,14,20,47.0,53.0,4.0,9.0,0.0,6.0,6.0,7.0,12.0,6.0,6,1.0,2,4,10,8.0,8.0,2.0,2.0,eae48ff31db420c2,0.0,13.0,43.0,60.0,90.0,1.0,12.0,0.0,1.0,47.0,5.0,25.0,7.0,15.0,1.0,3.0,6.0,34.0,7.0,9.0,0.0,0.0
459bc7c0b47719c3,1656738000,1,0,d1941565abf50b16,0,24,36,35.0,48.0,1.0,1.0,1.0,1.0,3.0,16.0,28.0,6.0,6,2.0,2,17,27,0.0,0.0,7.0,9.0,1d00756835ca67c9,0.0,21.0,33.0,24.0,36.0,0.0,0.0,0.0,1.0,24.0,12.0,20.0,6.0,8.0,3.0,5.0,21.0,33.0,0.0,0.0,0.0,0.0
760b5b16b4931a77,1579327200,1,0,4498b382c65a7faa,1,19,43,112.0,155.0,1.0,1.0,0.0,10.0,30.0,17.0,41.0,2.0,2,0.0,0,11,31,1.0,1.0,7.0,11.0,6a740daf1b279661,0.0,16.0,31.0,25.0,45.0,0.0,0.0,1.0,2.0,16.0,15.0,29.0,1.0,2.0,0.0,0.0,9.0,19.0,0.0,0.0,7.0,12.0
972b0643185b2570,1410584400,0,0,30a09e43f15f1d75,0,36,111,46.0,123.0,0.0,7.0,0.0,2.0,39.0,25.0,95.0,9.0,14,2.0,2,32,106,4.0,5.0,0.0,0.0,ab850a77a0fa487d,1.0,63.0,159.0,105.0,202.0,1.0,2.0,0.0,4.0,56.0,46.0,135.0,13.0,20.0,4.0,4.0,47.0,141.0,4.0,5.0,12.0,13.0
3fad8fd8b6e4465d,1320469200,0,0,d43a048a880efdff,0,12,35,61.0,88.0,2.0,2.0,2.0,1.0,26.0,8.0,30.0,3.0,3,1.0,2,4,17,6.0,11.0,2.0,7.0,179f1948dc234f1f,0.0,39.0,74.0,55.0,92.0,5.0,9.0,0.0,6.0,16.0,22.0,56.0,16.0,17.0,1.0,1.0,5.0,11.0,5.0,9.0,29.0,54.0
0f23c5569204a69b,1080885600,1,0,3738e68d2261e60f,1,51,83,51.0,83.0,0.0,0.0,0.0,0.0,6.0,41.0,68.0,2.0,2,8.0,13,31,52,20.0,31.0,0.0,0.0,4e9fb05d7e5e61b8,0.0,4.0,29.0,4.0,29.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,0.0,0.0,2.0,4.0,3.0,22.0,1.0,7.0,0.0,0.0
2fb1abeb337e0ccc,1596258000,1,0,6d4b63c767106d3a,2,64,122,76.0,134.0,0.0,0.0,0.0,1.0,6.0,33.0,88.0,5.0,6,26.0,28,56,111,3.0,3.0,5.0,8.0,c6aee362c7a7d482,0.0,61.0,133.0,66.0,138.0,1.0,2.0,0.0,0.0,52.0,35.0,102.0,13.0,18.0,13.0,13.0,53.0,122.0,8.0,10.0,0.0,1.0
2cec230248d7eb97,1670047200,0,0,40cb680ae1cd331f,6,3,15,13.0,5.0,,,,,15.0,13.0,,,5,5.0,efc67b07eed39794,0,1,0.0,59.0,3.0,,,,,0.0,59.0,,,3.0,4.0,,,,,,,,,,,,,,
10a1947cb3feabc1,1512799200,1,0,4c2d90e335e6df19,0,23,63,132.0,182.0,1.0,3.0,2.0,5.0,50.0,10.0,44.0,6.0,10,7.0,9,7,39,9.0,15.0,7.0,9.0,51a0c09cbe9b8472,0.0,49.0,71.0,191.0,215.0,4.0,4.0,0.0,6.0,33.0,29.0,46.0,13.0,15.0,7.0,10.0,20.0,40.0,12.0,13.0,17.0,18.0
